Year,Month,Day,Hour,Wind_Speed,Wind_Direction
2023,10,20,23,7.08,163.959
2023,10,21,0,6.73,168.482
2023,10,21,1,6.41,166.822
2023,10,21,2,5.99,170.932
2023,10,21,3,5.60,175.717
2023,10,21,4,5.14,179.469
2023,10,21,5,5.11,178.541
2023,10,21,6,5.09,179.177
2023,10,21,7,4.89,180.378
2023,10,21,8,4.31,174.946
2023,10,21,9,6.29,170.089
2023,10,21,10,9.51,170.208
2023,10,21,11,10.04,175.714
2023,10,21,12,8.23,177.423
2023,10,21,13,6.73,166.153
2023,10,21,14,6.60,155.912
2023,10,21,15,6.79,148.728
2023,10,21,16,7.14,143.729
2023,10,21,17,6.84,138.851
2023,10,21,18,6.75,135.413
2023,10,21,19,6.97,136.443
2023,10,21,20,6.95,138.172
2023,10,21,21,6.90,142.172
2023,10,21,22,6.71,147.069
2023,10,21,23,6.57,153.51
2023,10,22,0,6.43,159.482
2023,10,22,1,4.99,160.97
2023,10,22,2,4.70,165.718
2023,10,22,3,4.76,171.555
2023,10,22,4,4.32,171.442
2023,10,22,5,3.88,149.066
2023,10,22,6,4.36,123.513
2023,10,22,7,4.42,116.733
2023,10,22,8,3.96,125.287
2023,10,22,9,4.97,145.934
2023,10,22,10,6.81,158.633
2023,10,22,11,8.55,160.583
2023,10,22,12,8.54,155.065
2023,10,22,13,6.99,136.6
2023,10,22,14,6.25,128.124
2023,10,22,15,5.94,123.939
2023,10,22,16,5.94,121.276
2023,10,22,17,5.49,118.661
2023,10,22,18,4.93,117.53
2023,10,22,19,4.63,113.205
2023,10,22,20,4.57,106.676
2023,10,22,21,5.01,94.8734
2023,10,22,22,6.06,84.1711
2023,10,22,23,7.40,79.4464
2023,10,23,0,8.30,82.5232
2023,10,23,1,7.43,90.3566
2023,10,23,2,6.09,100.026
2023,10,23,3,4.84,110.032
2023,10,23,4,3.58,117.824
2023,10,23,5,2.59,132.727
2023,10,23,6,1.68,152.468
2023,10,23,7,1.47,175.744
2023,10,23,8,1.43,160.058
2023,10,23,9,3.04,143.092
2023,10,23,10,4.90,135.242
2023,10,23,11,6.42,133.899
2023,10,23,12,6.62,130.637
2023,10,23,13,5.62,126.615
2023,10,23,14,5.60,116.583
2023,10,23,15,5.75,110.964
2023,10,23,16,6.08,106.883
2023,10,23,17,5.46,111.19
